IBRC_Geo_ID,Statefips,Countyfips,Description,Year,Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population
0,0,000,U.S.,2000,282162411,19178293,53197896,27315274,84973340,62428040,35069568,72376189,150287588,59498634,138443407,143719004
0,0,000,U.S.,2001,284968955,19298217,53372958,27992652,84523274,64491563,35290291,72671175,151902194,60395586,139891492,145077463
0,0,000,U.S.,2002,287625193,19429192,53507265,28480708,83990295,66695526,35522207,72936457,152463197,62225539,141230559,146394634
0,0,000,U.S.,2003,290107933,19592446,53508312,28916746,83398001,68828899,35863529,73100758,153134701,63872474,142428897,147679036
0,0,000,U.S.,2004,292805298,19785885,53511850,29302179,83066831,70935234,36203319,73297735,153998940,65508623,143828012,148977286
0,0,000,U.S.,2005,295516599,19917400,53606269,29441546,82764185,73137401,36649798,73523669,154701635,67291295,145197078,150319521
0,0,000,U.S.,2006,298379912,19938883,53818831,29602839,82638980,75216272,37164107,73757714,155527978,69094220,146647265,151732647
0,0,000,U.S.,2007,301231207,20125962,53893443,29808025,82509693,77068373,37825711,74019405,156257657,70954145,148064854,153166353
0,0,000,U.S.,2008,304093966,20271127,53833475,30194274,82399959,78617510,38777621,74104602,157054680,72934684,149489951,154604015
0,0,000,U.S.,2009,306771529,20244518,53889649,30530346,82211153,80272688,39623175,74134167,157608587,75028775,150807454,155964075
0,0,000,U.S.,2010,309321666,20188815,53931851,30762380,82191286,81769110,40478224,74120666,157940058,77260942,152077478,157249665
0,0,000,U.S.,2011,311556874,20123103,53784421,31078554,82427353,82793428,41350015,73907524,158231623,79417727,153212980,158370501
0,0,000,U.S.,2012,313830990,19976065,53720599,31371460,82801927,82830576,43130363,73696664,158429539,81704787,154397027,159480635
0,0,000,U.S.,2013,315993715,19849215,53719487,31488416,83279411,83027731,44629455,73568702,158517755,83907258,155514054,160545893
0,0,000,U.S.,2014,318301008,19872349,53691374,31416072,83849830,83314367,46157016,73563723,158596834,86140451,156695810,161690519
0,0,000,U.S.,2015,320635163,19918078,53699973,31130843,84475800,83759699,47650770,73618051,158622174,88394938,157906843,162832151
0,0,000,U.S.,2016,322941311,19921759,53727654,30801776,85191223,84096828,49202071,73649413,158700028,90591870,159085693,163986062
0,0,000,U.S.,2017,324985539,19890972,53694374,30519684,86019996,84107109,50753404,73585346,158772020,92628173,160113445,165008683
0,0,000,U.S.,2018,326687501,19762962,53556183,30373478,86823584,83801955,52369339,73319145,158774768,94593588,160960513,165877686
0,0,000,U.S.,2019,328239523,19576683,53462467,30219206,87599465,83323439,54058263,73039150,158693573,96506800,161692336,166637617
1000,01,000,Alabama,2000,4452173,295185,827088,442244,1284371,1022405,580880,1122273,2331379,998521,2149338,2302835
1000,01,000,Alabama,2001,4467634,296624,823785,447963,1266952,1048479,583831,1120409,2338370,1008855,2158138,2309496
1000,01,000,Alabama,2002,4480089,296046,820544,450657,1249808,1077429,585605,1116590,2330371,1033128,2165719,2314370
1000,01,000,Alabama,2003,4503491,295204,817879,456549,1238460,1105027,590372,1113083,2334366,1056042,2179422,2324069
1000,01,000,Alabama,2004,4530729,295970,817692,457934,1231571,1133736,593826,1113662,2337878,1079189,2192872,2337857
1000,01,000,Alabama,2005,4569805,296441,820788,458170,1228586,1163718,602102,1117229,2345987,1106589,2213382,2356423
1000,01,000,Alabama,2006,4628981,297222,829576,459114,1233767,1196222,613080,1126798,2364791,1137392,2243501,2385480
1000,01,000,Alabama,2007,4672840,300300,831996,462996,1232608,1222870,622070,1132296,2376399,1164145,2265565,2407275
1000,01,000,Alabama,2008,4718206,304842,830085,470431,1231410,1244494,636944,1134927,2389995,1193284,2287949,2430257
1000,01,000,Alabama,2009,4757938,305412,828780,476884,1232200,1265621,649041,1134192,2401818,1221928,2309779,2448159
1000,01,000,Alabama,2010,4785437,304257,826176,479755,1228719,1285686,660844,1130433,2401820,1253184,2323013,2462501
1000,01,000,Alabama,2011,4799069,302829,820998,481645,1225177,1296403,672017,1123827,2393001,1282241,2328518,2471124
1000,01,000,Alabama,2012,4815588,299235,817467,485324,1225301,1290257,698004,1116702,2385609,1313277,2336196,2480436
1000,01,000,Alabama,2013,4830081,294695,815213,486637,1226950,1286997,719589,1109908,2378498,1341675,2343135,2488451
1000,01,000,Alabama,2014,4841799,293559,812185,480552,1228634,1285053,741816,1105744,2365535,1370520,2348012,2495725
1000,01,000,Alabama,2015,4852347,293970,808615,471498,1229894,1286301,762069,1102585,2350338,1399424,2352806,2501997
1000,01,000,Alabama,2016,4863525,294209,805241,461617,1230234,1288525,783699,1099450,2335571,1428504,2357211,2509613
1000,01,000,Alabama,2017,4874486,294604,801413,454873,1231962,1286850,804784,1096017,2323060,1455409,2360503,2517486
1000,01,000,Alabama,2018,4887681,295295,796559,452369,1235156,1281850,826452,1091854,2314550,1481277,2365445,2526183
1000,01,000,Alabama,2019,4903185,294357,793949,450224,1240535,1274283,849837,1088306,2307375,1507504,2371832,2536133
1001,01,001,"Autauga County, AL",2000,44021,3029,9538,3520,13444,9959,4531,12567,22673,8781,21385,22636
1001,01,001,"Autauga County, AL",2001,44889,3120,9574,3654,13507,10367,4667,12694,23155,9040,21813,23076
1001,01,001,"Autauga County, AL",2002,45909,3191,9864,3661,13696,10680,4817,13055,23444,9410,22362,23547
1001,01,001,"Autauga County, AL",2003,46800,3192,10110,3768,13713,11023,4994,13302,23783,9715,22760,24040
1001,01,001,"Autauga County, AL",2004,48366,3353,10389,4015,13958,11461,5190,13742,24593,10031,23512,24854
1001,01,001,"Autauga County, AL",2005,49676,3487,10662,4100,14114,11940,5373,14149,25121,10406,24200,25476
1001,01,001,"Autauga County, AL",2006,51328,3492,10947,4255,14497,12467,5670,14439,25973,10916,24988,26340
1001,01,001,"Autauga County, AL",2007,52405,3485,11264,4290,14584,12931,5851,14749,26384,11272,25468,26937
1001,01,001,"Autauga County, AL",2008,53277,3437,11411,4427,14615,13331,6056,14848,26845,11584,25873,27404
1001,01,001,"Autauga County, AL",2009,54135,3584,11312,4545,14637,13715,6342,14896,27213,12026,26364,27771
1001,01,001,"Autauga County, AL",2010,54773,3575,10966,4671,14824,14138,6599,14541,27724,12508,26667,28094
1001,01,001,"Autauga County, AL",2011,55227,3551,10832,4816,14832,14335,6861,14383,27879,12965,26980,28249
1001,01,001,"Autauga County, AL",2012,54954,3402,10766,4802,14539,14254,7191,14168,27543,13243,26830,28140
1001,01,001,"Autauga County, AL",2013,54727,3216,10525,4880,14337,14355,7414,13741,27360,13626,26588,28159
1001,01,001,"Autauga County, AL",2014,54893,3189,10425,4895,14340,14444,7600,13614,27306,13973,26804,28118
