Entity,Code,Year,Land area (sq. km)
Afghanistan,AFG,2023,652230
Albania,ALB,2023,27400
Algeria,DZA,2023,2381740
Andorra,AND,2023,470
Angola,AGO,2023,1246700
Antigua and Barbuda,ATG,2023,440
Argentina,ARG,2023,2736690
Armenia,ARM,2023,28199.44
Australia,AUS,2023,7692020
Austria,AUT,2023,82520
Azerbaijan,AZE,2023,82650
Bahamas,BHS,2023,10010
Bahrain,BHR,2023,800
Bangladesh,BGD,2023,129980
Barbados,BRB,2023,430
Belarus,BLR,2023,202983
Belgium,BEL,2023,30494
Belize,BLZ,2023,22810
Benin,BEN,2023,112760
Bhutan,BTN,2023,38140
Bolivia,BOL,2023,1083300
Bosnia and Herzegovina,BIH,2023,51200
Botswana,BWA,2023,566730
Brazil,BRA,2023,8358140
Brunei,BRN,2023,5270
Bulgaria,BGR,2023,108560
Burkina Faso,BFA,2023,273600
Burundi,BDI,2023,25680
Cambodia,KHM,2023,176520
Cameroon,CMR,2023,472710
Canada,CAN,2023,8788700
Cape Verde,CPV,2023,4030
Central African Republic,CAF,2023,622980
Chad,TCD,2023,1259200
Chile,CHL,2023,742831.6
China,CHN,2023,9388210
Colombia,COL,2023,1109500
Comoros,COM,2023,1861
Congo,COG,2023,341500
Costa Rica,CRI,2023,51060
Cote d'Ivoire,CIV,2023,318000
Croatia,HRV,2023,55960
Cuba,CUB,2023,103800
Cyprus,CYP,2023,9240
Czechia,CZE,2023,77167.31
Democratic Republic of Congo,COD,2023,2267050
Denmark,DNK,2023,40000
Djibouti,DJI,2023,23180
Dominica,DMA,2023,750
Dominican Republic,DOM,2023,48198.02
East Timor,TLS,2023,14870
Ecuador,ECU,2023,248360
Egypt,EGY,2023,995450
El Salvador,SLV,2023,20720
Equatorial Guinea,GNQ,2023,28050
Eritrea,ERI,2023,121178.2
Estonia,EST,2023,42730
Eswatini,SWZ,2023,17200
Ethiopia,ETH,2023,1128498.8
Fiji,FJI,2023,18270
Finland,FIN,2023,303960
France,FRA,2023,538950
Gabon,GAB,2023,257670
Gambia,GMB,2023,10120
Georgia,GEO,2023,69490
Germany,DEU,2023,349430
Ghana,GHA,2023,227533
Greece,GRC,2023,128900
Greenland,GRL,2023,410450
Grenada,GRD,2023,340
Guatemala,GTM,2023,107160
Guinea,GIN,2023,245720
Guinea-Bissau,GNB,2023,28120
Guyana,GUY,2023,211140
Haiti,HTI,2023,27560
Honduras,HND,2023,111890
Hungary,HUN,2023,91260
Iceland,ISL,2023,100830
India,IND,2023,2973190
Indonesia,IDN,2023,1892555.5
Iran,IRN,2023,1622500
Iraq,IRQ,2023,434130
Ireland,IRL,2023,68890
Israel,ISR,2023,21640
Italy,ITA,2023,295720
Jamaica,JAM,2023,10830
Japan,JPN,2023,364569.28
Jordan,JOR,2023,88794
Kazakhstan,KAZ,2023,2699700
Kenya,KEN,2023,580876.3
Kiribati,KIR,2023,810
Kuwait,KWT,2023,17820
Kyrgyzstan,KGZ,2023,191800
Laos,LAO,2023,230800
Latvia,LVA,2023,62230
Lebanon,LBN,2023,10230
Lesotho,LSO,2023,30360
Liberia,LBR,2023,96320
Libya,LBY,2023,1759540
Liechtenstein,LIE,2023,160
Lithuania,LTU,2023,62600
Luxembourg,LUX,2023,2574.46
Madagascar,MDG,2023,581800
Malawi,MWI,2023,94280
Malaysia,MYS,2023,328550
Maldives,MDV,2023,298
Mali,MLI,2023,1220190
Malta,MLT,2023,320
Marshall Islands,MHL,2023,180
Mauritania,MRT,2023,1030700
Mauritius,MUS,2023,1997
Mexico,MEX,2023,1943950
Micronesia (country),FSM,2023,700
Moldova,MDA,2023,32930
Monaco,MCO,2023,2.084
Mongolia,MNG,2023,1558499.8
Montenegro,MNE,2023,13450
Morocco,MAR,2023,446300
Mozambique,MOZ,2023,786380
Myanmar,MMR,2023,652670
Namibia,NAM,2023,823290
Nauru,NRU,2023,20
Nepal,NPL,2023,143350
Netherlands,NLD,2023,33670
New Caledonia,NCL,2023,18280
New Zealand,NZL,2023,263310
Nicaragua,NIC,2023,120340
Niger,NER,2023,1266700
Nigeria,NGA,2023,910770
North Korea,PRK,2023,120410
North Macedonia,MKD,2023,25220
Norway,NOR,2023,364270
Oman,OMN,2023,309500
Pakistan,PAK,2023,770880
Palau,PLW,2023,460
Palestine,PSE,2023,6025
Panama,PAN,2023,74180
Papua New Guinea,PNG,2023,452860
Paraguay,PRY,2023,396012.03
Peru,PER,2023,1280000
Philippines,PHL,2023,298170
Poland,POL,2023,306270
Portugal,PRT,2023,91605.6
Puerto Rico,PRI,2023,8870
Qatar,QAT,2023,11490
Romania,ROU,2023,230080
Russia,RUS,2023,16376870
Rwanda,RWA,2023,24670
Saint Kitts and Nevis,KNA,2023,260
Saint Lucia,LCA,2023,610
Saint Vincent and the Grenadines,VCT,2023,390
Samoa,WSM,2023,2780
San Marino,SMR,2023,60
Sao Tome and Principe,STP,2023,960
Saudi Arabia,SAU,2023,2149690
Senegal,SEN,2023,192530
Serbia,SRB,2023,84090
Seychelles,SYC,2023,460
Sierra Leone,SLE,2023,72180
Singapore,SGP,2023,718
Slovakia,SVK,2023,48080
Slovenia,SVN,2023,20134.5
Solomon Islands,SLB,2023,27990
Somalia,SOM,2023,627340
South Africa,ZAF,2023,1213090
South Korea,KOR,2023,97600
South Sudan,SSD,2023,631930
Spain,ESP,2023,499697.4
Sri Lanka,LKA,2023,61860
Sudan,SDN,2023,1868000
Suriname,SUR,2023,160507.61
Sweden,SWE,2023,407270
Switzerland,CHE,2023,39509.63
Syria,SYR,2023,183630
Tajikistan,TJK,2023,138790
Tanzania,TZA,2023,885800
Thailand,THA,2023,510890
Togo,TGO,2023,54390
Tonga,TON,2023,720
Trinidad and Tobago,TTO,2023,5130
Tunisia,TUN,2023,155360
Turkey,TUR,2023,769630
Turkmenistan,TKM,2023,469930
Tuvalu,TUV,2023,30
Uganda,UGA,2023,200520
Ukraine,UKR,2023,579400
United Arab Emirates,ARE,2023,71020
United Kingdom,GBR,2023,241930
United States,USA,2023,9147420
Uruguay,URY,2023,175020
Uzbekistan,UZB,2023,440650
Vanuatu,VUT,2023,12190
Venezuela,VEN,2023,882050
Vietnam,VNM,2023,313429
Yemen,YEM,2023,527970
Zambia,ZMB,2023,743390
Zimbabwe,ZWE,2023,386850
